trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,7,7.02410432639641,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19629151402302528}",30,19,23.709090576400712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,3,20.63262646598302,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,6,-49.527691556732414,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.1904614597650274}",35,16,9.365480611316592,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,0,-24.89714877177684,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,7,9.239247246737362,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1848045639485463}",25,1,27.07145120140865,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18295651830906084}",20,8,2.219049580149396,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,0,30.458421697447847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,0,17.766885382236005,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,13,10.50249961766379,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,11,9.302579004182569,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.173989828476264}",25,14,22.660122322203804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,0,16.342720712118545,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
